restock,policy,seed,deliveries,moves,conflicts,avg_wait
20,roundrobin,1096,21,845,205,72.3913043478261
20,roundrobin,1097,29,937,138,58.354838709677416
20,roundrobin,1098,30,970,119,57.3125
20,roundrobin,1099,24,784,274,54.23076923076923
20,nearest,1000,23,806,220,55.88
20,nearest,1001,29,850,204,34.70967741935484
20,nearest,1002,12,424,518,39.642857142857146
20,nearest,1003,34,986,119,35.891891891891895
20,nearest,1004,28,841,205,51.3
20,nearest,1005,35,1000,109,37.67567567567568
20,nearest,1006,22,684,323,36.083333333333336
20,nearest,1007,33,975,132,38.31428571428572
20,nearest,1008,35,998,117,42.75675675675676
20,nearest,1009,31,936,143,42.125
20,nearest,1010,35,1008,105,42.333333333333336
20,nearest,1011,2,98,770,12.0
20,nearest,1012,2,98,770,12.0
20,nearest,1013,8,294,618,32.3
20,nearest,1014,33,979,124,46.97222222222222
20,nearest,1015,31,908,161,45.15151515151515
20,nearest,1016,2,98,770,12.0
20,nearest,1017,33,955,131,47.205882352941174
20,nearest,1018,29,818,247,39.36666666666667
20,nearest,1019,30,902,167,46.40625
20,nearest,1020,29,891,168,39.16129032258065
20,nearest,1021,29,865,183,43.7
20,nearest,1022,15,432,521,28.294117647058822
20,nearest,1023,26,845,200,51.96551724137931
20,nearest,1024,6,202,696,21.0
20,nearest,1025,30,919,163,39.39393939393939
20,nearest,1026,28,895,178,42.9
20,nearest,1027,28,870,193,46.064516129032256
20,nearest,1028,34,959,140,38.22222222222222
20,nearest,1029,7,530,460,24.333333333333332
20,nearest,1030,31,927,151,54.1875
20,nearest,1031,28,810,238,41.36666666666667
20,nearest,1032,31,911,153,46.21875
20,nearest,1033,27,860,183,55.666666666666664
20,nearest,1034,2,106,759,12.0
20,nearest,1035,30,918,154,43.9375
20,nearest,1036,23,738,296,38.92307692307692
20,nearest,1037,27,867,190,41.0
20,nearest,1038,33,941,139,38.2
20,nearest,1039,29,879,202,44.96774193548387
20,nearest,1040,29,864,190,43.6
20,nearest,1041,26,874,175,59.89655172413793
20,nearest,1042,2,106,759,12.0
20,nearest,1043,2,98,770,12.0
20,nearest,1044,28,868,190,44.70967741935484
